name,lat,lon
Hornsby,-33.7024,151.0993
Hobart,-42.8794,147.3294
Hawthorn South,-37.8329,145.0367
Hawthorn,-37.8199,145.0358
Hampton Park,-38.0333,145.25
Griffith,-34.2885,146.0509
Greenvale,-37.6333,144.8667
Greensborough,-37.7046,145.103
Granville,-33.8406,151.0075
Goulburn,-34.7516,149.7209
Gold Coast,-28.0003,153.4309
Glen Waverley,-37.8781,145.1648
Glenroy,-37.7,144.9333
Glen Iris,-37.8667,145.0667
Glenferrie,-37.8333,145.05
Gladstone,-23.8485,151.2577
Geelong,-38.1471,144.3607
Frankston East,-38.1333,145.1333
Frankston,-38.1446,145.1229
Footscray,-37.8,144.9
Fairfield,-33.8667,150.95
Essendon,-37.7498,144.9109
Epping,-37.65,145.0333
Epping,-33.7727,151.0818
Engadine,-34.0656,151.0127
Eltham,-37.7333,145.15
Eight Mile Plains,-27.5833,153.1
Eastwood,-33.7918,151.0806
Earlwood,-33.9209,151.1251
Dubbo,-32.243,148.6048
Doreen,-37.6,145.15
Doncaster East,-37.7876,145.1489
Doncaster,-37.7883,145.1237
Deer Park,-37.7672,144.7666
Deception Bay,-27.1935,153.0263
Dandenong,-37.9833,145.2
Croydon,-37.8,145.2833
Cronulla,-34.0625,151.1496
Cranbourne,-38.1134,145.2833
Craigieburn,-37.6,144.95
Corio,-38.0833,144.3833
Coorparoo,-27.4932,153.0583
Coogee,-33.9205,151.2552
Coffs Harbour,-30.2963,153.1135
Coburg,-37.75,144.9667
Clayton,-37.9167,145.1167
Wollongong,-34.424,150.8934
Chatswood,-33.8,151.1833
Cessnock,-32.8321,151.3562
Caulfield North,-37.8739,145.0248
Castle Hill,-33.7333,151.0
Carrum Downs,-38.0997,145.1725
Carnegie,-37.8936,145.0553
Carlton,-37.8,144.9667
Carlingford,-33.7827,151.0489
Capalaba,-27.5433,153.2029
Canberra,-35.2835,149.1281
Camberwell,-37.842,145.0694
Cairns,-16.9237,145.7661
Caboolture,-27.0846,152.9511
Burwood,-33.8833,151.1
Burnie,-41.0558,145.9038
Bundaberg,-24.8662,152.3479
Buderim,-26.6844,153.057
Brunswick,-37.7667,144.9667
Broken Hill,-31.9652,141.4512
Brisbane,-27.4679,153.0281
Brighton,-37.9056,145.0028
Boronia,-37.8667,145.2833
Blacktown,-33.7667,150.9167
Bexley,-33.95,151.1167
Berwick,-38.0333,145.35
Bentleigh East,-37.9193,145.053
Bentleigh,-37.9181,145.0354
Bendigo,-36.7582,144.2802
Baulkham Hills,-33.7588,150.9929
Bathurst,-33.4166,149.5806
Banora Point,-28.213,153.5363
Bankstown,-33.9167,151.0333
Ballarat,-37.5662,143.8496
Bairnsdale,-37.8229,147.6104
Auburn,-33.85,151.0333
Ashfield,-33.8883,151.1227
Ascot Vale,-37.7799,144.9228
Armidale,-30.5012,151.6655
Albany Creek,-27.3536,152.9685
Maroochydore,-26.6601,153.0995
Cheltenham,-37.9694,145.0481
Randwick,-33.9144,151.249
Dee Why,-33.7511,151.2889
Umina Beach,-33.5231,151.3132
Palmerston,-12.486,130.9833
Hervey Bay,-25.2876,152.7694
